##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
EVT_90000430_DESC;Now that the war is over, we must decide on our government policy.;Now that the war is over, we must decide on our government policy.;Now that the war is over, we must decide on our government policy.;Now that the war is over, we must decide on our government policy.;Now that the war is over, we must decide on our government policy.;Now that the war is over, we must decide on our government policy.;Now that the war is over, we must decide on our government policy.;Now that the war is over, we must decide on our government policy.;Now that the war is over, we must decide on our government policy.;Now that the war is over, we must decide on our government policy.;x
EVT_90000430_A;Independent path;Independent path;Independent path;Independent path;Independent path;Independent path;Independent path;Independent path;Independent path;Independent path;x
EVT_90000430_B;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;x
EVT_90000431_NAME;Government of Kazkhstan;Government of Turkestan;Government of Turkestan;Government of Turkestan;Government of Turkestan;Government of Turkestan;Government of Turkestan;Government of Turkestan;Government of Turkestan;Government of Turkestan;x
EVT_90000431_DESC;Now that the war is over, we must decide on our government policy.;Now that the war is over, we must decide on our government policy.;Now that the war is over, we must decide on our government policy.;Now that the war is over, we must decide on our government policy.;Now that the war is over, we must decide on our government policy.;Now that the war is over, we must decide on our government policy.;Now that the war is over, we must decide on our government policy.;Now that the war is over, we must decide on our government policy.;Now that the war is over, we must decide on our government policy.;Now that the war is over, we must decide on our government policy.;x
EVT_90000431_A;Independent path;Independent path;Independent path;Independent path;Independent path;Independent path;Independent path;Independent path;Independent path;Independent path;x
EVT_90000431_B;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;Move closer to the Axis;x
EVT_90000432_NAME;Align Turkestan?;Align Turkestan?;Align Turkestan?;Align Turkestan?;Align Turkestan?;Align Turkestan?;Align Turkestan?;Align Turkestan?;Align Turkestan?;Align Turkestan?;x
EVT_90000432_DESC;The new government of Turkestan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;The new government of Turkestan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;The new government of Turkestan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;The new government of Turkestan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;The new government of Turkestan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;The new government of Turkestan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;The new government of Turkestan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;The new government of Turkestan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;The new government of Turkestan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;The new government of Turkestan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;x
EVT_90000433_NAME;Alliance with Germany?;Alliance with Germany?;Alliance with Germany?;Alliance with Germany?;Alliance with Germany?;Alliance with Germany?;Alliance with Germany?;Alliance with Germany?;Alliance with Germany?;Alliance with Germany?;x
EVT_90000433_DESC;The Germans have invited us to their alliance, what shall be our response?;The Germans have invited us to their alliance, what shall be our response?;The Germans have invited us to their alliance, what shall be our response?;The Germans have invited us to their alliance, what shall be our response?;The Germans have invited us to their alliance, what shall be our response?;The Germans have invited us to their alliance, what shall be our response?;The Germans have invited us to their alliance, what shall be our response?;The Germans have invited us to their alliance, what shall be our response?;The Germans have invited us to their alliance, what shall be our response?;The Germans have invited us to their alliance, what shall be our response?;x
EVT_90000434_NAME;Align Kazakhstan?;Align Kazakhstan?;Align Kazakhstan?;Align Kazakhstan?;Align Kazakhstan?;Align Kazakhstan?;Align Kazakhstan?;Align Kazakhstan?;Align Kazakhstan?;Align Kazakhstan?;x
EVT_90000434_DESC;The new government of Kazakhstan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;The new government of Kazakhstan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;The new government of Kazakhstan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;The new government of Kazakhstan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;The new government of Kazakhstan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;The new government of Kazakhstan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;The new government of Kazakhstan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;The new government of Kazakhstan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;The new government of Kazakhstan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;The new government of Kazakhstan has decided to align itself closer to us. Perhaps we should invite them to our alliance?;x
EVT_90000435_NAME;Alliance with Germany?;Alliance with Germany?;Alliance with Germany?;Alliance with Germany?;Alliance with Germany?;Alliance with Germany?;Alliance with Germany?;Alliance with Germany?;Alliance with Germany?;Alliance with Germany?;x
EVT_90000435_DESC;The Germans have invited us to their alliance, what shall be our response?;The Germans have invited us to their alliance, what shall be our response?;The Germans have invited us to their alliance, what shall be our response?;The Germans have invited us to their alliance, what shall be our response?;The Germans have invited us to their alliance, what shall be our response?;The Germans have invited us to their alliance, what shall be our response?;The Germans have invited us to their alliance, what shall be our response?;The Germans have invited us to their alliance, what shall be our response?;The Germans have invited us to their alliance, what shall be our response?;The Germans have invited us to their alliance, what shall be our response?;x
EVT_90000429_NAME;Astrakhan uprising;Astrakhan uprising;Astrakhan uprising;Astrakhan uprising;Astrakhan uprising;Astrakhan uprising;Astrakhan uprising;Astrakhan uprising;Astrakhan uprising;Astrakhan uprising;x
EVT_90000429_DESC;Reactionary forces loyal to White traitor emigrants have staged an uprising in Astrakhan! It is rumored there are many Cossacks among them…;Reactionary forces loyal to White traitor emigrants have staged an uprising in Astrakhan! It is rumored there are many Cossacks among them…;Reactionary forces loyal to White traitor emigrants have staged an uprising in Astrakhan! It is rumored there are many Cossacks among them…;Reactionary forces loyal to White traitor emigrants have staged an uprising in Astrakhan! It is rumored there are many Cossacks among them…;Reactionary forces loyal to White traitor emigrants have staged an uprising in Astrakhan! It is rumored there are many Cossacks among them…;Reactionary forces loyal to White traitor emigrants have staged an uprising in Astrakhan! It is rumored there are many Cossacks among them…;Reactionary forces loyal to White traitor emigrants have staged an uprising in Astrakhan! It is rumored there are many Cossacks among them…;Reactionary forces loyal to White traitor emigrants have staged an uprising in Astrakhan! It is rumored there are many Cossacks among them…;Reactionary forces loyal to White traitor emigrants have staged an uprising in Astrakhan! It is rumored there are many Cossacks among them…;Reactionary forces loyal to White traitor emigrants have staged an uprising in Astrakhan! It is rumored there are many Cossacks among them…;x
EVT_90000436_NAME;Astrakhan uprising;Astrakhan uprising;Astrakhan uprising;Astrakhan uprising;Astrakhan uprising;Astrakhan uprising;Astrakhan uprising;Astrakhan uprising;Astrakhan uprising;Astrakhan uprising;x
EVT_90000436_DESC;There's a lot of unrest in the restive region of Astrakhan. Should we exploit this unrest by sending an expedition?;There's a lot of unrest in the restive region of Astrakhan. Should we exploit this unrest by sending an expedition?;There's a lot of unrest in the restive region of Astrakhan. Should we exploit this unrest by sending an expedition?;There's a lot of unrest in the restive region of Astrakhan. Should we exploit this unrest by sending an expedition?;There's a lot of unrest in the restive region of Astrakhan. Should we exploit this unrest by sending an expedition?;There's a lot of unrest in the restive region of Astrakhan. Should we exploit this unrest by sending an expedition?;There's a lot of unrest in the restive region of Astrakhan. Should we exploit this unrest by sending an expedition?;There's a lot of unrest in the restive region of Astrakhan. Should we exploit this unrest by sending an expedition?;There's a lot of unrest in the restive region of Astrakhan. Should we exploit this unrest by sending an expedition?;There's a lot of unrest in the restive region of Astrakhan. Should we exploit this unrest by sending an expedition?;x
EVT_90000436_A;Let's challenge the Reds…;Let's challenge the Reds…;Let's challenge the Reds…;Let's challenge the Reds…;Let's challenge the Reds…;Let's challenge the Reds…;Let's challenge the Reds…;Let's challenge the Reds…;Let's challenge the Reds…;Let's challenge the Reds…;x
EVT_90000436_B;This is too dangerous.;This is too dangerous.;This is too dangerous.;This is too dangerous.;This is too dangerous.;This is too dangerous.;This is too dangerous.;This is too dangerous.;This is too dangerous.;This is too dangerous.;x
EVT_90000437_NAME;Battle of Astrakhan;Battle of Astrakhan;Battle of Astrakhan;Battle of Astrakhan;Battle of Astrakhan;Battle of Astrakhan;Battle of Astrakhan;Battle of Astrakhan;Battle of Astrakhan;Battle of Astrakhan;x
EVT_90000437_DESC;Our forces are currently fighting the Cossacks. We could declare full war on them, but they enjoy German protection.;Our forces are currently fighting the Cossacks. We could declare full war on them, but they enjoy German protection.;Our forces are currently fighting the Cossacks. We could declare full war on them, but they enjoy German protection.;Our forces are currently fighting the Cossacks. We could declare full war on them, but they enjoy German protection.;Our forces are currently fighting the Cossacks. We could declare full war on them, but they enjoy German protection.;Our forces are currently fighting the Cossacks. We could declare full war on them, but they enjoy German protection.;Our forces are currently fighting the Cossacks. We could declare full war on them, but they enjoy German protection.;Our forces are currently fighting the Cossacks. We could declare full war on them, but they enjoy German protection.;Our forces are currently fighting the Cossacks. We could declare full war on them, but they enjoy German protection.;Our forces are currently fighting the Cossacks. We could declare full war on them, but they enjoy German protection.;x
EVT_90000437_A;Cossack victory!;Cossack victory!;Cossack victory!;Cossack victory!;Cossack victory!;Cossack victory!;Cossack victory!;Cossack victory!;Cossack victory!;Cossack victory!;x
EVT_90000437_B;Soviet victory!;Soviet victory!;Soviet victory!;Soviet victory!;Soviet victory!;Soviet victory!;Soviet victory!;Soviet victory!;Soviet victory!;Soviet victory!;x
EVT_90000438_NAME;Incorporation of Turkestan;Incorporation of Turkestan;Incorporation of Turkestan;Incorporation of Turkestan;Incorporation of Turkestan;Incorporation of Turkestan;Incorporation of Turkestan;Incorporation of Turkestan;Incorporation of Turkestan;Incorporation of Turkestan;x
EVT_90000438_DESC;After defeating the separatists we have reincorporated Turkestan into the Soviet Union!;After defeating the separatists we have reincorporated Turkestan into the Soviet Union!;After defeating the separatists we have reincorporated Turkestan into the Soviet Union!;After defeating the separatists we have reincorporated Turkestan into the Soviet Union!;After defeating the separatists we have reincorporated Turkestan into the Soviet Union!;After defeating the separatists we have reincorporated Turkestan into the Soviet Union!;After defeating the separatists we have reincorporated Turkestan into the Soviet Union!;After defeating the separatists we have reincorporated Turkestan into the Soviet Union!;After defeating the separatists we have reincorporated Turkestan into the Soviet Union!;After defeating the separatists we have reincorporated Turkestan into the Soviet Union!;x
EVT_90000439_NAME;Incorporation of Kazakhstan;Incorporation of Kazakhstan;Incorporation of Kazakhstan;Incorporation of Kazakhstan;Incorporation of Kazakhstan;Incorporation of Kazakhstan;Incorporation of Kazakhstan;Incorporation of Kazakhstan;Incorporation of Kazakhstan;Incorporation of Kazakhstan;x
EVT_90000439_DESC;After defeating the separatists we have reincorporated Kazakhstan into the Soviet Union!;After defeating the separatists we have reincorporated Kazakhstan into the Soviet Union!;After defeating the separatists we have reincorporated Kazakhstan into the Soviet Union!;After defeating the separatists we have reincorporated Kazakhstan into the Soviet Union!;After defeating the separatists we have reincorporated Kazakhstan into the Soviet Union!;After defeating the separatists we have reincorporated Kazakhstan into the Soviet Union!;After defeating the separatists we have reincorporated Kazakhstan into the Soviet Union!;After defeating the separatists we have reincorporated Kazakhstan into the Soviet Union!;After defeating the separatists we have reincorporated Kazakhstan into the Soviet Union!;After defeating the separatists we have reincorporated Kazakhstan into the Soviet Union!;x
